"name1","type_facility","longitude","latitude"
"Axis Health System","SU",-106.9239471,38.5515714
"Colorado West Regional Mental Hlth Ctr","SU",-106.8386765,39.1892156
"Colorado Family Counseling Inc","SU",-107.2195916,39.4088141
"Colorado Family Counseling Inc","SU",-106.5934097,39.6457137
"Summit Womens Recovery","SU",-106.0449128,39.6278035
"Ambiance Counseling Services","SU",-106.0448913,39.6278536
"Colorado West Regional Mental Hlth Ctr","SU",-107.3239152,39.5236497
"Denver Recovery Group","SU",-107.3254864,39.5382923
"Colorado Family Counseling Inc","SU",-107.3254312,39.5459702
"Gateway to Success","SU",-105.2319811,38.4560464
"San Luis Valley","SU",-106.1080953,37.7538788
"Denver Recovery Group","SU",-107.8757192,38.4823166
"Rocky Mountain Behavioral Health Inc","SU",-105.1835364,38.4447881
"Southern Peaks RTC","SU",-105.1588928,38.4572825
"Axis Health System","SU",-107.9610831,38.482065
"Axis Health System","SU",-108.0711031,38.732792
"Colorado Family Counseling Inc","SU",-107.7835527,39.5314938
"Jefferson Center for Mental Health","SU",-105.5120971,39.7419818
"Crossroads Turning Points Inc","SU",-106.1480842,37.5791696
"San Luis Valley","SU",-106.1531545,37.5761945
"Jefferson Center for Mental Health","SU",-105.3537811,39.6599097
"Red Rock Recovery Center","SU",-105.2336054,39.5494842
"Recovery Village at Palmer Lake","SU",-104.8972303,39.1124692
"BHG Colorado Springs Treatment Center","SU",-104.8491946,38.8925675
"Achieve Whole Recovery","SU",-104.8460195,38.8983988
"Monument Counseling Center","SU",-104.869588,39.0921094
"Kopas Mental Health","SU",-104.8273995,38.8742263
"Insight Services PLLC","SU",-104.8203348,38.8439716
"Axis Health System","SU",-107.8479,37.9362
"Cedar Springs Hospital","SU",-104.816743,38.8021037
"AspenRidge Recovery","SU",-104.8067266,38.7941038
"Jefferson Center for Mental Health","SU",-105.4662213,39.8692829
"Gateway to Success","SU",-104.7869929,38.8306716
"Recovery Unlimited","SU",-104.7860979,38.8304478
"Sandstone Care Detox Center","SU",-104.7897068,38.9107505
"Colorado West Regional Mental Hlth Ctr","SU",-105.9346497,40.084483
"Denver Recovery Group","SU",-104.7823155,38.8241214
"Sandstone Care","SU",-104.7871083,38.9143152
"Crossroads Turning Points Inc","SU",-104.7810739,38.7746041
"Colorado Treatment Services LLC","SU",-104.7819768,38.9054173
"A Turning Point of Colorado Springs","SU",-104.7758523,38.9054283
"Gallus Detox Denver LLC","SU",-105.0956799,39.6079818
"A Good Life Counseling","SU",-104.7693772,38.9016568
"Greenlight Counseling","SU",-105.0919896,39.6091847
"Whats Next Counseling","SU",-105.0733512,39.5918009
"Hands Up Counseling LLC","SU",-104.7575294,38.8765206
"A New Hope Counseling LLC","SU",-104.7627814,38.9420725
"Diversus Health","SU",-104.7410177,38.8079622
"Jefferson Center for Mental Health","SU",-105.0771165,39.6502744
"AllHealth Network","SU",-104.8622808,39.3625579
"Hope Grief Loss and Substance Abuse","SU",-105.8657503,37.4697311
"Ascension Csl and Transformation LLC","SU",-105.869386,37.4684478
"Jefferson Center for Mental Health","SU",-105.1348075,39.7194599
"Golden Peak Recovery","SU",-105.0871837,39.6745321
"Peak View Behavioral Health","SU",-104.7126337,38.9374119
"University of Colorado Denver/ARTS","SU",-105.039562,39.6414416
"Hoffler and Associates Csl Servs Inc","SU",-104.7028237,38.6828034
"AllHealth Network","SU",-105.0156912,39.6161336
"AllHealth Network","SU",-105.0147861,39.6165359
"AllHealth Network","SU",-104.9891822,39.5896335
"Solace Counseling Services Inc","SU",-105.0715418,39.6826916
"Crossroads Turning Points Inc","SU",-105.8696269,37.4484074
"San Luis Valley","SU",-105.8795597,37.4449908
"Denver Recovery Group","SU",-104.9868216,39.5942409
"New Paradigm Counseling LLC","SU",-104.8544394,39.4079923
"Community Medical Services","SU",-105.024739,39.6376829
"AspenRidge Recovery","SU",-105.0800879,39.6961826
"New Beginnings Recovery Center","SU",-104.9863353,39.6099755
"Jefferson Center for Mental Health","SU",-105.1030099,39.7405539
"Red Rock Recovery Center","SU",-105.0963413,39.7386828
"Parker Froyd and Associates","SU",-105.096812,39.7398518
"Denver Recovery Group","SU",-105.0951081,39.7399092
"Jefferson Center for Mental Health","SU",-105.0607095,39.7117839
"Counseling Center of the Rockies","SU",-104.988128,39.6405133
"Comprehensive Behavioral Health Center","SU",-105.0548739,39.7107805
"Creative Treatment Options","SU",-105.0785923,39.7388631
"Spanish Clinic LLC","SU",-105.0420244,39.7044327
"Odyssey Counseling","SU",-105.119824,39.77784
"Community Medical Services","SU",-105.0770808,39.7405521
"Thrive Medical Group Inc","SU",-104.9879914,39.6506035
"Magnolia Medical Group","SU",-105.111061,39.7864025
"Jefferson Center for Mental Health","SU",-105.106253,39.7847079
"Denver Family Therapy Center","SU",-105.1056301,39.7851505
"Special Services Clinic Inc","SU",-105.0324770563,39.7213510238973
"IDEA Forum Inc","SU",-105.0154792,39.7109131
"CuraWest","SU",-104.9739185,39.6701977
"Choices in Living Counseling Center","SU",-105.0820894,39.7783148
"Jefferson Center for Mental Health","SU",-105.0819087,39.7807375
"A New Outlook Recovery Services","SU",-104.882317,39.5734359
"Denver Indian Health and Family Servs","SU",-105.022992,39.7355132
"Valley Hope of Denver","SU",-104.8815384,39.5877027
"AllHealth Network","SU",-104.874799,39.5796944
"Bonnie Mucklow","SU",-104.9070386,39.623255
"Sobriety House Inc","SU",-104.9895599,39.7187443
"Community Medical Services","SU",-104.8766138,39.5929919
"Denver Health and Hosp Authority","SU",-104.9908439,39.7270455
"University of Colorado Denver/ARTS","SU",-105.0805386,39.8112835
"The Raleigh House","SU",-104.9045177,39.6369569
