    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,sa,dt,mm,dm,bum,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otp,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,idd,at,ect,tele,saca,trc,smon,smpd,smop,hi,res,phdt,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,fsa,cit,wi,ss,pa,ah,sp,co,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,adtx,bdtx,cdtx,mdtx,odtx,tgd,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,snr,fem,male,du,duo,acc,acm,acu,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,opc,sae,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,fqhc,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,dlc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,cbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,pefp,aot,msnh,ipsy,shp,vahc,mmd,antpych,mpep,aim,fed,sotp,dea,mhc,samf,mhpa,hbt,hct,labt,tod,vapn,vapp,vppd,oudo,nx,fx,mws,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n24,n40 
North Suffolk Community Services,Chelsea Counseling Center,301 Broadway,,Chelsea,MA,02150,,Suffolk,866-781-6727,,,,http://www.northsuffolk.org,42.3910401,-71.0366372,SU,,1,,,,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,1,,1,,,,,,1,1,,,1,,,,,1,1,1,1,1,,,,1,1,,,,1,1,1,1,1,1,1,,,1,1,,1,,1,1,1,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,,,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,1,,1,1,,,,,,,,,,,,,1,,,1,,
North Suffolk Community Services,Chelsea Counseling Center,301 Broadway,,Chelsea,MA,02150,,Suffolk,866-781-6727,,,,http://www.northsuffolk.org,42.3910401,-71.0366372,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,1,,,,,,1,,,1,1,1,1,,,,,,,,,,,1,,,,,,1,,,,,,,,1,1,,,1,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,,,1,,1,1,,,,,,,,,,,,,1,,,1,,
North Suffolk Community Services,Meridian House,408 Meridian Street,,Boston,MA,02128,,Suffolk,866-781-6727,,617-431-2728,,http://www.northsuffolk.org,42.3804071,-71.039586,SU,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,1,1,1,1,,,,1,,,,1,1,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,1,,,,1,,,,,,,1,1,1,,,,1,1,1,1,1,,1,,,1,1,,1,1,,,1,,,,,1,1,1,1,,,,,1,1,,,,1,,1,1,1,1,1,,1,1,1,,,,,,,,,,1,,,1,1,1,,,1,,1,1,1,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
North Suffolk Community Services,Meridian House,408 Meridian Street,,Boston,MA,02128,,Suffolk,866-781-6727,,617-431-2728,,http://www.northsuffolk.org,42.3804071,-71.039586,MH,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,,1,,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare Resource Centers,,175 Crescent Avenue,,Chelsea,MA,02150,,Suffolk,617-889-8779,,,,https://www.hcrcenters.com/health-care-resource-centers-chelsea/,42.396243,-71.0232651,SU,,1,1,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,1,,,,,,1,,1,1,,,,,1,1,1,,,1,,,1,1,,1,1,,,1,,,1,,,1,1,1,,,,,1,1,,1,,,1,1,,1,1,1,,,1,1,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,1,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,
North Suffolk Community Services,East Boston Counseling Center,14 Porter Street,,Boston,MA,02128,,Suffolk,866-781-6727,,,617-912-7500,http://www.northsuffolk.org,42.3748077,-71.0380302,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,,,,,1,1,,1,1,1,1,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,1,,,1,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,1,,1,1,,1,,,,,,,,,1,,1,,,1,,
North Suffolk Community Services,East Boston Counseling Center,14 Porter Street,,Boston,MA,02128,,Suffolk,866-781-6727,,,617-912-7500,http://www.northsuffolk.org,42.3748077,-71.0380302,SU,,1,,,,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,1,1,1,1,,,,1,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,1,,1,,,,,,1,1,,,1,1,,,,1,1,1,1,1,,,,1,1,,1,,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,,1,1,1,1,1,1,,,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,1,,1,1,,,,,,,,,,,1,,1,,,1,,
Hanton House,Co Occurring Enhanced (COE),69 Clinton Street,,Chelsea,MA,02150,,Suffolk,866-781-6727,,,,http://northsuffolk.org/addiction-services,42.4017142,-71.0160974,MH,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,,,1,,1,,,,,,1,,1,1,,,,1,,,1,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,
Hanton House,Co Occurring Enhanced (COE),69 Clinton Street,,Chelsea,MA,02150,,Suffolk,866-781-6727,,,,http://northsuffolk.org/addiction-services,42.4017142,-71.0160974,SU,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,,1,1,1,1,1,,,,1,,,,1,1,,1,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,1,,,,1,,,,,,,1,1,1,,,,1,1,1,1,,,1,,,1,1,,1,1,,,1,,,,,1,1,1,1,,,,,1,1,,,,1,,1,,1,1,1,,1,1,1,,,,,,,,,,1,,1,1,1,1,,,1,,1,1,1,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,
NEW Health Charlestown,Behavioral Health/Substance Use Prog,15 Tufts Street,,Charlestown,MA,02129,,Suffolk,857-238-1120,,,,http://newhealthcharlestown.org,42.3778685,-71.0567876,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,
