name,address,city,state,zip,confidence,lon,lat
Raincity Drugstore,305 Dock St,Ketchikan,AK,99901,0.96,-131.6473068,55.3420343
Safeway,2417 Tongass Ave,Ketchikan,AK,99901,0.97,-131.6740019,55.3483238
Carrs Pharmacy,2417 Tongass Ave,Ketchikan,AK,99901,0.96,-131.6737421,55.3483991
Island Pharmacy,3526 Tongass Ave,Ketchikan,AK,99901,0.99,-131.6926532,55.3558622
Walmart,4230 Don King Rd,Ketchikan,AK,99901,0.95,-131.720571,55.3754685
Whale Tail Pharmacy,333 Cold Storage Rd,Craig,AK,99921,0.96,-133.141213,55.4776573
Stikine Drug,202 Front St,Wrangell,AK,99929,0.96,-132.3840903,56.471731
Harry Race Pharmacy,106 Lincoln St,Sitka,AK,99835,0.98,-135.33808,57.04917
Juneau Drug Co Inc,202 Front St,Juneau,AK,99801,0.99,-134.4070259,58.3007944
Safeway,3033 Vintage Blvd,Juneau,AK,99801,0.95,-134.5950673,58.3709395
White's Pharmacy,705 Halibut Point Rd,Sitka,AK,99835,0.95,-135.346198,57.0569355
White's Pharmacy,705 Halibut Point Rd,Sitka,AK,99835,0.99,-135.3457588,57.0571043
Safeway,1907 Seward Hwy,Seward,AK,99664,1.0,-149.4360717,60.1261832
Alpine Apothecary,36511 Seward Hwy,Anchorage,AK,99587,0.96,-149.1712954,60.9403256
Safeway Pharmacy,1313 Meals St,Valdez,AK,99686,0.95,-146.3488764,61.1313838
Walgreens,7600 Debarr Rd,Anchorage,AK,99504,0.99,-149.73935,61.2091877
Walmart Pharmacy,18600 Eagle River Rd,Anchorage,AK,99577,0.96,-149.5351652,61.3090002
Family Pharmacy,11432 Business Blvd,Eagle River,AK,99577,0.99,-149.5727421,61.3231778
Walgreens,12051 Old Glenn Hwy,Eagle River,AK,99577,0.96,-149.5680777,61.32896
Pharmacy Partners,3831 E Blue Lupine Dr,Wasilla,AK,99654,0.96,-149.3543124,61.5723047
Safeway,90 Sterling Hwy,Homer,AK,99603,1.0,-151.5341319,59.6431869
Professional Home IV,182 S Birch St,Soldotna,AK,99669,0.96,-151.0647275,60.4848379
Walgreens,44001 Sterling Hwy,Soldotna,AK,99669,0.96,-151.0565018,60.4858213
Soldotna Professional Pharmacy,299 N Binkley St,Soldotna,AK,99669,0.99,-151.0727461,60.4946065
CVS Pharmacy,150 W 100th Ave,Anchorage,AK,99515,0.96,-149.8816209,61.1295099
Walgreens,2197 W Dimond Blvd,Anchorage,AK,99515,0.96,-149.919631,61.137857
Walgreens,2197 W Dimond Blvd,Anchorage,AK,99515,0.95,-149.919501,61.137985
Walmart,8900 Old Seward Hwy,Anchorage,AK,99515,0.96,-149.871448,61.1401869
Walmart,8900 Old Seward Hwy,Anchorage,AK,99515,0.96,-149.8698771,61.1402087
Walgreens,2550 E 88th Ave,Anchorage,AK,99507,0.99,-149.834773,61.140556
Sam's Club,8801 Old Seward Hwy,Anchorage,AK,99515,0.95,-149.860061645508,61.1407699584961
Geneva Woods Pharmacy,501 W International Airport Rd,Anchorage,AK,99518,1.0,-149.8922065,61.1739577
Walgreens,4353 Lake Otis Pkwy,Anchorage,AK,99508,0.95,-149.83758,61.181164
Walgreens,4353 Lake Otis Pkwy,Anchorage,AK,99508,0.96,-149.8369969,61.1813437
Bernie's Pharmacy,4100 Lake Otis Pkwy,Anchorage,AK,99508,0.99,-149.8398446,61.1828722
ANMC Pharmacy,4315 Diplomacy Dr,Anchorage,AK,99508,0.96,-149.7999677,61.1829633
Amp Pharmacy,4101 Arctic Blvd,Anchorage,AK,99503,0.96,-149.8976703,61.1838855
Providence Medical Arts Pharmacy,3200 Providence Dr,Anchorage,AK,99508,0.91,-149.816823,61.188166
Walmart Pharmacy,3101 A St,Anchorage,AK,99503,0.99,-149.8799824,61.1923295
Carrs Pharmacy,2920 Seward Hwy,Anchorage,AK,99503,0.98,-149.86397127619628,61.19401338940144
Walgreens,1470 W Northern Lights Blvd,Anchorage,AK,99503,1.0,-149.9120973,61.1948906
Carrs,1340 Gambell St,Anchorage,AK,99501,1.0,-149.8720988,61.2094275
CVS Pharmacy,1200 N Muldoon Rd,Anchorage,AK,99504,0.96,-149.7458857,61.2263914
JBER Main Pharmacy,5955 Zeamer Ave,Anchorage,AK,99506,0.96,-149.7453969,61.2350245
Walgreens,1721 E Parks Hwy,Wasilla,AK,99654,1.0,-149.4068924,61.5773966
CVS Pharmacy,1801 E Parks Hwy,Wasilla,AK,99654,0.99,-149.4038068,61.5777041
CVS Pharmacy,1801 E Parks Hwy,Wasilla,AK,99654,0.95,-149.4027,61.578
Geneva Woods Pharmacy,3674 E Country Field Cir,Wasilla,AK,99654,0.96,-149.3578376,61.5893237
Carrs Pharmacy,664 E Palmer-Wasilla Hwy,Palmer,AK,99645,0.95,-149.12714540201375,61.598097033659194
Carrs,664 W Evergreen Ave,Palmer,AK,99645,0.96,-149.1270993,61.5982167
Cross Road Medical Center,187 Glenn Hwy,Glennallen,AK,99588,0.99,-145.5405758,62.1090302
Alaska Family Pharmacy,167 S Santa Claus Ln,North Pole,AK,99705,0.99,-147.3535114,64.7540769
Denali Pharmacy,1650 Cowles St,Fairbanks,AK,99701,0.99,-147.7389747,64.8311712
Alaska Family Pharmacy,1001 Noble St,Fairbanks,AK,99701,0.99,-147.7134481,64.8389733
Walgreens,530 Old Steese Hwy,Fairbanks,AK,99701,0.98,-147.6970612,64.850806
Walmart,537 Johansen Expy,Fairbanks,AK,99701,0.98,-147.6891875,64.8567004
Walmart Pharmacy,537 Merhar Ave,Fairbanks,AK,99701,0.99,-147.6895285,64.856739
Longs Drugs,96-3163 Pikake St,Pahala,HI,96777,1.0,-155.4771231,19.2020471
Longs Drugs,15-1454 Kahakai Blvd,Pahoa,HI,96778,1.0,-154.9553127,19.5047652
CVS Pharmacy,78-6831 Alii Dr,Kailua Kona,HI,96740,0.98,-155.961989,19.571782
Longs Drugs Pharmacy,16-586 Old Volcano Rd,Keaau,HI,96749,1.0,-155.0394488,19.6228311
Malama Compounding Pharmacy,74-5555 Kaiwi St,Kailua Kona,HI,96740,0.99,-156.0008049,19.6429209
CVS Pharmacy,75-5591 Palani Rd,Kailua Kona,HI,96740,0.99,-155.9935346,19.6435219
Longs Drugs,75-5591 Palani Rd,Kailua Kona,HI,96740,1.0,-155.9935002,19.643625
Safeway,75-971 Henry St,Kailua Kona,HI,96740,0.99,-155.9911293,19.6437734
CVS Pharmacy,74-5455 Makala Blvd,Kailua Kona,HI,96740,0.99,-156.0026788,19.6478562
CVS Pharmacy,111 E Puainako St,Hilo,HI,96720,0.99,-155.0619589,19.6957603
Walgreens,301 E Makaala St,Hilo,HI,96720,0.91,-155.064472,19.699588
CVS Pharmacy,391 E Makaala St,Hilo,HI,96720,1.0,-155.0598558,19.7007047
KTA Pharmacy - Ponahawai,670 Ponahawai St,Hilo,HI,96720,0.96,-155.096476,19.7141593
Medipharm Pharmacy,891 Ululani St,Hilo,HI,96720,0.99,-155.0850796,19.7165498
Pharmacare,162 Kinoole St,Hilo,HI,96720,0.91,-155.0883994,19.7240063
KTA Super Stores,65-1158 Mamalahoa Hwy,Kamuela,HI,96743,0.99,-155.6677088,20.0221553
Wailea People & Paws Pharmacy,34 Wailea Gateway Pl,Kihei,HI,96753,1.0,-156.4311621,20.6887395
Longs Drugs Pharmacy,1215 S Kihei Rd,Kihei,HI,96753,1.0,-156.4547133,20.7508407
CVS Pharmacy,1215 S Kihei Rd,Kihei,HI,96753,0.97,-156.4545875,20.75087
Longs Drugs,55 Kiopaa Pl,Makawao,HI,96768,0.99,-156.3301726,20.8223815
Walgreens,700 Waiale Rd,Wailuku,HI,96793,1.0,-156.4998607,20.8714366
Longs Drugs,135 Kehalani Village Dr,Wailuku,HI,96793,1.0,-156.5007057,20.8718879
CVS Pharmacy,100 Hookele St,Kahului,HI,96732,0.98,-156.4556767,20.8741917
Kaiser Permanente Lahaina Clinic,910 Wainee St,Lahaina,HI,96761,0.91,-156.679487,20.879177
Safeway,1090 Hookele St,Kahului,HI,96732,0.99,-156.4447131,20.8792734
Safeway Pharmacy,1090 Ho'okele St,Kahului,HI,96732,0.95,-156.44490138623047,20.879662045464553
Longs Drugs,275 W Kaahumanu Ave,Kahului,HI,96732,1.0,-156.4750041,20.8869371
Walgreens,10 E Kamehameha Ave,Kahului,HI,96732,1.0,-156.4656533,20.888317
Longs Drugs,70 E Kaahumanu Ave,Kahului,HI,96732,0.99,-156.4650611,20.891169
Maui Clinic Pharmacy,53 S Puunene Ave,Kahului,HI,96732,0.96,-156.4633603,20.8920956
Maui Green Nutraceuticals,810 Haiku Rd,Haiku,HI,96708,0.96,-156.3224364,20.9134007
Rainbow Pharmacy,431 7th St,Lanai City,HI,96763,1.0,-156.9195948,20.8262078
Walgreens,342 Keawe St,Lahaina,HI,96761,0.98,-156.6809374,20.8844023
CVS Pharmacy,1221 Honoapiilani Hwy,Lahaina,HI,96761,0.99,-156.6844167,20.88566
Longs Drugs,1221 Honoapiilani Hwy,Lahaina,HI,96761,1.0,-156.6840794,20.8857421
Molokai Drugs Inc,28 Kamoi St,Kaunakakai,HI,96748,0.99,-157.0192445,21.0899097
Waikiki Health,277 Ohua Ave,Honolulu,HI,96815,0.98,-157.8205777,21.2756139
Walgreens,7192 Kalanianaole Hwy,Honolulu,HI,96825,1.0,-157.7049624,21.2767002
Longs Drugs Pharmacy,5156 Kalanianaole Hwy,Honolulu,HI,96821,1.0,-157.7557464,21.2778488
CVS Photo,2155 Kalakaua Ave,Honolulu,HI,96815,0.96,-157.8303179,21.2804364
Safeway,888 Kapahulu Ave,Honolulu,HI,96816,1.0,-157.8146155,21.283936
Longs Drugs Pharmacy,377 Keahole St,Honolulu,HI,96825,0.97,-157.7080773,21.2853056
Longs Drugs,3221 Waialae Ave,Honolulu,HI,96816,1.0,-157.8076471,21.2868627
